InputSize,Original,Strassen,,
500,811931,94073825,851557.42,98522252.32
500,774767,95181125,,
500,763395,94841523,,
500,808622,96830665,,
500,826008,95637518,,
500,770696,94792849,,
500,768411,94292851,,
500,791109,94618092,,
500,777666,97203226,,
500,799134,97149407,,
500,812554,101011825,,
500,943542,113022717,,
500,2699418,99468810,,
500,818806,98053333,,
500,862058,100543837,,
500,819285,98531777,,
500,810280,99445396,,
500,820731,99664857,,
500,812457,98535086,,
500,808861,97568481,,
500,810399,98087121,,
500,798152,96948924,,
500,839028,106000877,,
500,946237,102946702,,
500,852034,98825710,,
500,813931,103256923,,
500,785914,102090922,,
500,768656,99265983,,
500,785079,99864420,,
500,810307,102005193,,
500,896276,101961898,,
500,797998,98088284,,
500,838675,96439315,,
500,766197,95907161,,
500,822511,96986032,,
500,777771,96899790,,
500,785629,95426232,,
500,778593,97511398,,
500,773663,96720737,,
500,784911,97890197,,
500,804667,96998679,,
500,810574,96589963,,
500,820264,96236667,,
500,798381,103819640,,
500,806415,97295660,,
500,840088,96223766,,
500,874273,99860857,,
500,836317,98561660,,
500,797432,98997838,,
500,857768,97936867,,
